,0,1
111,2020-04-23 04:39:09+00:00,"NOT GOOD. “[UK universities] sector could lose around £2.5bn next year in tuition fees alone, along with the loss of 30,000 university jobs, based on gloomy predictions of international and domestic students staying away if Covid-19 continues unchecked.” https://gu.com/p/dyhx7/stw"
112,2020-04-23 03:58:51+00:00,"Coronavirus UK: Universities face £2.5bn tuition fee loss next year and 30,000 jobs #universities #FBPE https://www.theguardian.com/education/2020/apr/23/coronavirus-uk-universities-face-25bn-tuition-fee-loss-next-year?CMP=share_btn_tw"
113,2020-04-23 03:54:05+00:00,Coronavirus UK: Universities face £2.5bn tuition fee loss next year http://dlvr.it/RVHKrJ
114,2020-04-22 20:38:27+00:00,Cath Kidston to close all 60 UK stores with loss of 900 jobs https://www.theguardian.com/business/2020/apr/21/cath-kidston-to-close-all-60-uk-stores-with-loss-of-900-jobs?CMP=share_btn_tw
115,2020-04-22 20:36:04+00:00,"Aye you have a point, we should tell the UK to shove its money up its arse Close the border and trade only with EU Nae doubt you can get the job as 1st Sea Lord protecting our oil which we selling at huge loss On flag ship vital spark Utopia Yep you have my vote"
116,2020-04-22 19:26:16+00:00,自由が丘にあるお店はヨガの前に毎回立ち寄ってたし、ロンドンでも店の前を通ったら必ず店中チラ見してた、結構お気に入りのブランドが閉店。日本からも撤退。なんか悲しい。#キャスキッドソン #CathKidston Cath Kidston to close all 60 UK stores with loss of 900 jobs https://www.theguardian.com/business/2020/apr/21/cath-kidston-to-close-all-60-uk-stores-with-loss-of-900-jobs
117,2020-04-22 15:15:34+00:00,:( Cath Kidston to close all 60 UK stores with loss of 900 jobs https://www.theguardian.com/business/2020/apr/21/cath-kidston-to-close-all-60-uk-stores-with-loss-of-900-jobs?CMP=share_btn_tw
118,2020-04-22 14:31:54+00:00,"Exactly. The loss of our lives, relatives, NHS, savings, jobs &amp; quality of life is a price they are willing to pay."
119,2020-04-22 14:27:24+00:00,Cath Kidston to close all 60 UK stores with loss of 900 jobs https://www.theguardian.com/business/2020/apr/21/cath-kidston-to-close-all-60-uk-stores-with-loss-of-900-jobs
120,2020-04-22 13:41:33+00:00,"Replicate this many times over across uk. Add loss tax revenue, economic hit (how long?) job losses, business closures. "
121,2020-04-22 13:37:06+00:00,イギリス。 キャスキッドソン60店舗全て閉店。 Cath Kidston to close all 60 UK stores with loss of 900 jobs 
122,2020-04-22 13:32:09+00:00,"UK Think-Tank Seeks Global Solidarity to Sue China for $6.5 Trillion for 'Covering up Coronavirus'. $6.5 trillion is what the G7 have so far spent on managing the #ChineseVirus/#COVID19, not counting loss of jobs, businesses, and potential income. "
123,2020-04-22 13:25:12+00:00,Cath Kidston to close all 60 UK stores with loss of 900 jobs https://www.telegraph.co.uk/business/2020/04/21/cath-kidston-close-60-uk-stores-loss-900-jobs/ #Retail #eCommerce
124,2020-04-22 12:25:59+00:00,결국은 이렇게 되는구나... 가족들이 여기 소품들 좋아해서 종종 사갔는데. 코로나19가 결정타가 된 듯. 일자리를 잃은 사람들은 또 어찌 되련지 ㅠㅠ Cath Kidston to close all 60 UK stores with loss of 900 jobs https://www.theguardian.com/business/2020/apr/21/cath-kidston-to-close-all-60-uk-stores-with-loss-of-900-jobs?CMP=share_btn_tw
125,2020-04-22 12:11:25+00:00,"This is just plain wrong and ignorant. His companies have paid hundreds of millions in tax. The bailout is for his companies, not him. He could easily just shut it down and sit pretty on his private assets at the loss of hundreds of jobs in the UK"
126,2020-04-22 12:02:02+00:00,#キャスキッドソン Cath Kidston to close all 60 UK stores with loss of 900 jobs https://www.theguardian.com/business/2020/apr/21/cath-kidston-to-close-all-60-uk-stores-with-loss-of-900-jobs Thank you for everything. I'll cherish your products. I hope that things get back to normal ASAP. from JAPAN.
127,2020-04-22 11:55:11+00:00,Cath Kidston to close all 60 UK stores - with loss of more than 900 jobs 
128,2020-04-22 11:27:18+00:00,"Fashion retailer Cath Kidston is to permanently shut its 60 UK stores and their Irish stores on Grafton St Dublin, Kildare Village and Belfast with the total loss of 900 jobs. It has been confirmed that the shops will not be reopening after the Covid-19 Lockdown. #NPRedFM"
129,2020-04-22 11:18:43+00:00,This was an entertaining article. BUT as one of the boring ordinaries I don’t give a fig if Branson sits on his island and doesn’t pay much ‘ personal’ tax. I do care about the loss of thousands of jobs by UK tax payers who will be devastated if VA collapses. Sad times
130,2020-04-22 11:16:17+00:00,Cath Kidston to close all 60 UK stores with loss of 900 jobs https://www.theguardian.com/business/2020/apr/21/cath-kidston-to-close-all-60-uk-stores-with-loss-of-900-jobs?CMP=share_btn_tw
131,2020-04-22 11:04:47+00:00,"Wow, big issue... Cath Kidston to close all 60 UK stores with loss of 900 jobs | Retail industry | The Guardian https://www.theguardian.com/business/2020/apr/21/cath-kidston-to-close-all-60-uk-stores-with-loss-of-900-jobs"
132,2020-04-22 10:39:10+00:00,Cath Kidston to close all 60 UK stores with loss of 900 jobs https://www.theguardian.com/business/2020/apr/21/cath-kidston-to-close-all-60-uk-stores-with-loss-of-900-jobs?CMP=share_btn_tw
133,2020-04-22 10:21:00+00:00, Cath Kidston to close all 60 UK stores with loss of 900 jobs https://bit.ly/2zdGX0m
134,2020-04-22 10:00:19+00:00,Cath Kidston to close all 60 UK stores with loss of 900 jobs https://www.theguardian.com/business/2020/apr/21/cath-kidston-to-close-all-60-uk-stores-with-loss-of-900-jobs
135,2020-04-22 09:59:05+00:00,Cath Kidston to close all 60 UK stores with loss of 900 jobs https://www.theguardian.com/business/2020/apr/21/cath-kidston-to-close-all-60-uk-stores-with-loss-of-900-jobs?CMP=share_btn_tw
136,2020-04-22 09:20:43+00:00,Cath Kidston To Close All 60 UK Stores With Loss Of 900 Jobs
