,0,1
59,2020-04-28 17:40:01+00:00,"BREAKING: Up to 12,000 jobs could be cut at British Airways due to the #coronavirus crisis, parent company IAG has announced, pending consultation. UK pilots' union BALPA said it was ""devastated"" at the news. https://www.bbc.co.uk/news/business-52462660 IAG Press Release: https://www.iairgroup.com/en/newsroom/press-releases/newsroom-listing/2020/preliminary-financial-results"
60,2020-04-28 17:36:00+00:00,"British Airways to cut up to 12,000 jobs including cabin crew as coronavirus crisis hits - [United Kingdom Tour, Worldwide Travel News], Source: Express News UK - https://www.refess.com/united-kingdom-tour/british-airways-to-cut-up-to-12000-jobs-including-cabin-crew-as-coronavirus-crisis-hits/"
61,2020-04-28 17:34:12+00:00,"Coronavirus: British Airways to cut up to 12,000 jobs https://www.plow.io/post/coronavirus-british-airways-to-cut-up-to-12000-jobs?utm_source=Twitter&amp;utm_campaign=UK_news +1 UKBot #UK #news"
62,2020-04-28 17:31:14+00:00,"Coronavirus: British Airways to cut up to 12,000 jobs The UK flag carrier says a collapse in business because of coronavirus means a major restructuring is needed. "
63,2020-04-28 17:22:39+00:00," Have they been living under the stairs? UK PILOTS UNION BALPA SAYS IAG ANNOUNCEMENT ON 12,000 POSSIBLE JOB CUTS AT BA HAS ""COME AS A BOLT OUT OF THE BLUE"""
64,2020-04-28 17:07:34+00:00,"Coronavirus: British Airways to cut up to 12,000 jobs: The UK flag carrier says a collapse in business because of coronavirus means a major restructuring is needed. http://dlvr.it/RVd8xS"
65,2020-04-28 17:07:04+00:00,"Coronavirus: British Airways to cut up to 12,000 jobs: The UK flag carrier says a collapse in business because of coronavirus means a major restructuring is needed. https://bit.ly/2xZNRX4"
66,2020-04-28 17:06:42+00:00,"#Coronavirus: #British #Airways is set to cut up to 12,000 #jobs as it deals with a collapse in #business because of the coronavirus #pandemic. #economy #uk #UniversalCredit"
67,2020-04-28 17:06:18+00:00,"British Airways set to cut up to 12,000 jobs as it deals with a collapse in business because of coronavirus https://bbc.in/2KJ211u"
68,2020-04-28 16:58:52+00:00,"#Coronavirus: British Airways to cut up to 12,000 jobs https://www.bbc.com/news/business-52462660"
69,2020-04-28 16:56:32+00:00,"BREAKING: Coronavirus: British Airways to cut up to 12,000 jobs: The UK flag carrier says a collapse in business because of coronavirus means a major restructuring is needed. Via @globalbreaking_"
